Char,Neut,Sentiment score,Name,Block
😂,0.285,0.221,FACE WITH TEARS OF JOY,Emoticons
😍,0.219,0.678,SMILING FACE WITH HEART-SHAPED EYES,Emoticons
😭,0.22,-0.093,LOUDLY CRYING FACE,Emoticons
😘,0.193,0.701,FACE THROWING A KISS,Emoticons
😊,0.237,0.644,SMILING FACE WITH SMILING EYES,Emoticons
😁,0.296,0.449,GRINNING FACE WITH SMILING EYES,Emoticons
😩,0.186,-0.368,WEARY FACE,Emoticons
🙏,0.421,0.417,PERSON WITH FOLDED HANDS,Emoticons
😏,0.444,0.332,SMIRKING FACE,Emoticons
😉,0.337,0.463,WINKING FACE,Emoticons
🙌,0.238,0.559,PERSON RAISING BOTH HANDS IN CELEBRATION,Emoticons
🙈,0.241,0.432,SEE-NO-EVIL MONKEY,Emoticons
😄,0.305,0.421,SMILING FACE WITH OPEN MOUTH AND SMILING EYES,Emoticons
😒,0.192,-0.374,UNAMUSED FACE,Emoticons
😃,0.299,0.557,SMILING FACE WITH OPEN MOUTH,Emoticons
😔,0.219,-0.146,PENSIVE FACE,Emoticons
😱,0.282,0.19,FACE SCREAMING IN FEAR,Emoticons
😜,0.322,0.455,FACE WITH STUCK-OUT TONGUE AND WINKING EYE,Emoticons
😳,0.327,0.018,FLUSHED FACE,Emoticons
😡,0.108,-0.173,POUTING FACE,Emoticons
😎,0.297,0.491,SMILING FACE WITH SUNGLASSES,Emoticons
😢,0.225,0.007,CRYING FACE,Emoticons
😋,0.277,0.631,FACE SAVOURING DELICIOUS FOOD,Emoticons
🙊,0.272,0.459,SPEAK-NO-EVIL MONKEY,Emoticons
😴,0.237,-0.08,SLEEPING FACE,Emoticons
😌,0.237,0.482,RELIEVED FACE,Emoticons
😞,0.161,-0.118,DISAPPOINTED FACE,Emoticons
😆,0.281,0.409,SMILING FACE WITH OPEN MOUTH AND TIGHTLY-CLOSED EYES,Emoticons
😝,0.313,0.423,FACE WITH STUCK-OUT TONGUE AND TIGHTLY-CLOSED EYES,Emoticons
😪,0.219,-0.08,SLEEPY FACE,Emoticons
😫,0.174,-0.145,TIRED FACE,Emoticons
😅,0.237,0.178,SMILING FACE WITH OPEN MOUTH AND COLD SWEAT,Emoticons
😀,0.26,0.568,GRINNING FACE,Emoticons
😚,0.192,0.71,KISSING FACE WITH CLOSED EYES,Emoticons
😻,0.243,0.619,SMILING CAT FACE WITH HEART-SHAPED EYES,Emoticons
😥,0.244,0.122,DISAPPOINTED BUT RELIEVED FACE,Emoticons
😕,0.195,-0.397,CONFUSED FACE,Emoticons
😤,0.252,-0.209,FACE WITH LOOK OF TRIUMPH,Emoticons
😈,0.326,0.265,SMILING FACE WITH HORNS,Emoticons
😰,0.148,-0.02,FACE WITH OPEN MOUTH AND COLD SWEAT,Emoticons
😑,0.285,-0.311,EXPRESSIONLESS FACE,Emoticons
😹,0.262,0.141,CAT FACE WITH TEARS OF JOY,Emoticons
😠,0.172,-0.299,ANGRY FACE,Emoticons
😓,0.217,-0.08,FACE WITH COLD SWEAT,Emoticons
😣,0.131,-0.212,PERSEVERING FACE,Emoticons
😐,0.282,-0.388,NEUTRAL FACE,Emoticons
😨,0.272,-0.14,FEARFUL FACE,Emoticons
😖,0.188,-0.155,CONFOUNDED FACE,Emoticons
😷,0.221,-0.169,FACE WITH MEDICAL MASK,Emoticons
🙋,0.255,0.485,HAPPY PERSON RAISING ONE HAND,Emoticons
😛,0.229,0.601,FACE WITH STUCK-OUT TONGUE,Emoticons
😬,0.272,0.194,GRIMACING FACE,Emoticons
😙,0.18,0.778,KISSING FACE WITH SMILING EYES,Emoticons
🙆,0.316,0.5,FACE WITH OK GESTURE,Emoticons
🙅,0.286,-0.202,FACE WITH NO GOOD GESTURE,Emoticons
🙉,0.314,0.333,HEAR-NO-EVIL MONKEY,Emoticons
😇,0.268,0.587,SMILING FACE WITH HALO,Emoticons
😿,0.219,-0.372,CRYING CAT FACE,Emoticons
😲,0.295,-0.068,ASTONISHED FACE,Emoticons
😶,0.292,-0.142,FACE WITHOUT MOUTH,Emoticons
😵,0.274,0.085,DIZZY FACE,Emoticons
😸,0.35,0.41,GRINNING CAT FACE WITH SMILING EYES,Emoticons
😧,0.284,-0.063,ANGUISHED FACE,Emoticons
😮,0.366,0.269,FACE WITH OPEN MOUTH,Emoticons
😽,0.165,0.571,KISSING CAT FACE WITH CLOSED EYES,Emoticons
🙀,0.341,0.33,WEARY CAT FACE,Emoticons
🙇,0.279,0.14,PERSON BOWING DEEPLY,Emoticons
😟,0.229,0.072,WORRIED FACE,Emoticons
😯,0.354,0.123,HUSHED FACE,Emoticons
😦,0.281,-0.368,FROWNING FACE WITH OPEN MOUTH,Emoticons
🙍,0.173,-0.327,PERSON FROWNING,Emoticons
😺,0.186,0.395,SMILING CAT FACE WITH OPEN MOUTH,Emoticons
😾,0.167,-0.333,POUTING CAT FACE,Emoticons
😼,0.258,0.355,CAT FACE WITH WRY SMILE,Emoticons
🙎,0.15,-0.05,PERSON WITH POUTING FACE,Emoticons
😗,0.167,0.611,KISSING FACE,Emoticons
